"Air passenger traffic at Canadian airports, annual"
"Frequency: Annual"
"Table: 23-10-0253-01 (formerly CANSIM 401-0044)"
"Release date: 2023-07-28"
"Geography: Canada, Province or territory"
""
""

"Geography","Air passenger traffic","2015","2016","2017","2018","2019","2020"
"Canada",,"Number",,,,,
,"Total, passengers enplaned and deplaned","133,426,703","140,892,544","150,808,451","160,641,587","162,864,077","46,349,535"
,"Domestic sector","79,524,002","83,694,751","88,284,134","93,299,144","93,313,525","29,044,556"
,"Transborder sector","26,499,377","27,221,599","29,519,218","31,459,469","32,192,583","7,057,778"
,"Other International sector","27,403,324","29,976,194","33,005,099","35,882,974","37,357,969","10,247,201"
"Halifax/Robert L Stanfield International, Nova Scotia","Total, passengers enplaned and deplaned","3,600,534","3,805,573","3,984,504","4,252,361","4,128,803","975,018"
,"Domestic sector","2,948,463","3,171,899","3,387,568","3,578,689","3,472,505","841,596"
,"Transborder sector","325,748","324,506","289,032","299,455","355,794","65,328"
,"Other International sector","326,323","309,168","307,904","374,217","300,504","68,094"
"Montréal/Pierre Elliott Trudeau International, Quebec","Total, passengers enplaned and deplaned","14,751,913","15,752,804","17,556,017","18,804,524","19,578,357","5,178,197"
,"Domestic sector","5,519,997","6,060,901","6,580,060","6,795,555","6,895,629","1,930,808"
,"Transborder sector","3,436,641","3,552,444","4,013,094","4,322,613","4,442,248","1,032,052"
,"Other International sector","5,795,275","6,139,459","6,962,863","7,686,356","8,240,480","2,215,337"
"Ottawa/Macdonald-Cartier International, Ontario","Total, passengers enplaned and deplaned","4,427,954","4,610,476","4,796,525","4,979,875","4,971,789","1,339,541"
,"Domestic sector","3,374,009","3,606,424","3,787,543","3,886,994","3,870,174","1,017,072"
,"Transborder sector","623,261","611,914","629,793","712,719","680,721","161,744"
,"Other International sector","430,684","392,138","379,189","380,162","420,894","160,725"
"Toronto/Lester B Pearson International, Ontario","Total, passengers enplaned and deplaned","39,640,129","42,889,733","45,884,420","48,494,047","49,187,804","12,996,101"
,"Domestic sector","15,660,962","16,695,470","17,239,092","17,681,786","17,680,397","5,246,394"
,"Transborder sector","10,753,683","11,575,750","12,621,260","13,462,206","13,624,780","3,001,042"
,"Other International sector","13,225,484","14,618,513","16,024,068","17,350,055","17,882,627","4,748,665"
"Winnipeg/James Armstrong Richardson International, Manitoba","Total, passengers enplaned and deplaned","3,597,274","3,888,854","4,149,531","4,406,483","4,395,426","1,235,260"
,"Domestic sector","2,980,400","3,282,788","3,544,381","3,775,086","3,729,925","967,007"
,"Transborder sector","436,372","422,346","430,235","455,202","479,541","133,523"
,"Other International sector","180,502","183,720","174,915","176,195","185,960","134,730"
"Calgary International, Alberta","Total, passengers enplaned and deplaned","14,577,832","14,854,145","15,582,707","16,762,514","17,203,118","5,321,886"
,"Domestic sector","10,205,759","10,453,754","10,832,159","11,791,293","11,858,566","4,013,536"
,"Transborder sector","2,969,082","2,857,199","3,080,246","3,258,940","3,472,175","805,475"
,"Other International sector","1,402,991","1,543,192","1,670,302","1,712,281","1,872,377","502,875"
"Edmonton International, Alberta","Total, passengers enplaned and deplaned","7,465,525","7,023,052","7,491,278","8,406,040","7,892,679","2,461,545"
,"Domestic sector","5,807,983","5,746,687","6,216,778","7,025,648","6,514,992","2,093,096"
,"Transborder sector","1,183,431","868,049","860,430","974,992","963,819","212,245"
,"Other International sector","474,111","408,316","414,070","405,400","413,868","156,204"
"Vancouver International, British Columbia","Total, passengers enplaned and deplaned","19,695,004","21,515,629","23,639,196","25,476,699","25,738,851","7,199,495"
,"Domestic sector","10,176,621","10,859,002","11,476,921","12,267,590","12,297,884","4,076,960"
,"Transborder sector","4,863,196","5,161,108","5,911,459","6,239,264","6,299,058","1,316,346"
,"Other International sector","4,655,187","5,495,519","6,250,816","6,969,845","7,141,909","1,806,189"




"How to cite: Statistics Canada. Table 23-10-0253-01  Air passenger traffic at Canadian airports, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310025301
